"Carburante","Potencia","Servicio_Vehiculo","Actividad_Vehiculo","GAMA","Unidades_Matriculadas","Localidad_definitiva","Provincia_definitiva","Codigo_Postal","Viviendas","precio_medio_m2","Peso_vivienda","RAISON_SOCIAL","RUE_SSOC","Edad_Conductor","Numero de Conductores","Antigüedad","Anos_Antiguedad","Numero_vehiculos_parque","Cluster_GamaPotencia","Cluster_Antiguedad","Cluster_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"ALGECIRAS","CADIZ",0.02969561989606531,0.120125786163522,0.17985095532414158,2,"AUTOMOVILES DEL ESTRECHO, S.A.","CTRA. N-340 CÁDIZ-MÁLAGA, KM. 108,4","70 a 74 años",0.03328556703622697,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_6_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"ALGECIRAS","CADIZ",0.02969561989606531,0.120125786163522,0.17985095532414158,2,"AUTOMOVILES DEL ESTRECHO, S.A.","CTRA. N-340 CÁDIZ-MÁLAGA, KM. 108,4","Más de 74 años",0.022751841516454232,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_6_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"BENALMADENA","MALAGA",0.48599356594902243,0.32578616352201256,0.6014611505400734,4,"HICA AUTOMOCIÓN, SL.","C/SIDRA, 21 P.I","18 a 20 años",0.0073660658169293815,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_1_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"BENALMADENA","MALAGA",0.48599356594902243,0.32578616352201256,0.6014611505400734,4,"HICA AUTOMOCIÓN, SL.","C/SIDRA, 21 P.I","21 a 24 años",0.023883148553184002,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_1_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"BENALMADENA","MALAGA",0.48599356594902243,0.32578616352201256,0.6014611505400734,4,"HICA AUTOMOCIÓN, SL.","C/SIDRA, 21 P.I","25 a 29 años",0.043190788646705384,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_1_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"BENALMADENA","MALAGA",0.48599356594902243,0.32578616352201256,0.6014611505400734,4,"HICA AUTOMOCIÓN, SL.","C/SIDRA, 21 P.I","30 a 34 años",0.05809890137516655,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_1_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"BENALMADENA","MALAGA",0.48599356594902243,0.32578616352201256,0.6014611505400734,4,"HICA AUTOMOCIÓN, SL.","C/SIDRA, 21 P.I","35 a 39 años",0.07949317444754507,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_3_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"BENALMADENA","MALAGA",0.48599356594902243,0.32578616352201256,0.6014611505400734,4,"HICA AUTOMOCIÓN, SL.","C/SIDRA, 21 P.I","40 a 44 años",0.07808532569072581,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_3_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"BENALMADENA","MALAGA",0.48599356594902243,0.32578616352201256,0.6014611505400734,4,"HICA AUTOMOCIÓN, SL.","C/SIDRA, 21 P.I","45 a 49 años",0.06684767579254344,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_5_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"BENALMADENA","MALAGA",0.48599356594902243,0.32578616352201256,0.6014611505400734,4,"HICA AUTOMOCIÓN, SL.","C/SIDRA, 21 P.I","50 a 54 años",0.05317143072629912,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_5_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"BENALMADENA","MALAGA",0.48599356594902243,0.32578616352201256,0.6014611505400734,4,"HICA AUTOMOCIÓN, SL.","C/SIDRA, 21 P.I","55 a 59 años",0.043869572868743247,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_5_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"BENALMADENA","MALAGA",0.48599356594902243,0.32578616352201256,0.6014611505400734,4,"HICA AUTOMOCIÓN, SL.","C/SIDRA, 21 P.I","60 a 64 años",0.03584986298614777,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_6_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"BENALMADENA","MALAGA",0.48599356594902243,0.32578616352201256,0.6014611505400734,4,"HICA AUTOMOCIÓN, SL.","C/SIDRA, 21 P.I","65 a 69 años",0.026497724815848354,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_6_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"BENALMADENA","MALAGA",0.48599356594902243,0.32578616352201256,0.6014611505400734,4,"HICA AUTOMOCIÓN, SL.","C/SIDRA, 21 P.I","70 a 74 años",0.01712044648917716,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_6_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"BENALMADENA","MALAGA",0.48599356594902243,0.32578616352201256,0.6014611505400734,4,"HICA AUTOMOCIÓN, SL.","C/SIDRA, 21 P.I","Más de 74 años",0.011036528647208187,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_6_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"CHICLANA DE LA FRONTERA","CADIZ",0.027963375402128204,0.11320754716981131,0.42550294597135896,3,"AUTOS COLCHON, S.L.","C/ ALAMEDA SOLANO, S/N","18 a 20 años",0.009854941297734872,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_1_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"CHICLANA DE LA FRONTERA","CADIZ",0.027963375402128204,0.11320754716981131,0.42550294597135896,3,"AUTOS COLCHON, S.L.","C/ ALAMEDA SOLANO, S/N","21 a 24 años",0.03210397968675365,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_1_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"CHICLANA DE LA FRONTERA","CADIZ",0.027963375402128204,0.11320754716981131,0.42550294597135896,3,"AUTOS COLCHON, S.L.","C/ ALAMEDA SOLANO, S/N","25 a 29 años",0.07929205319657089,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_1_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"CHICLANA DE LA FRONTERA","CADIZ",0.027963375402128204,0.11320754716981131,0.42550294597135896,3,"AUTOS COLCHON, S.L.","C/ ALAMEDA SOLANO, S/N","30 a 34 años",0.09462754858335219,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_1_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"CHICLANA DE LA FRONTERA","CADIZ",0.027963375402128204,0.11320754716981131,0.42550294597135896,3,"AUTOS COLCHON, S.L.","C/ ALAMEDA SOLANO, S/N","35 a 39 años",0.11501621540085981,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_1_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"CHICLANA DE LA FRONTERA","CADIZ",0.027963375402128204,0.11320754716981131,0.42550294597135896,3,"AUTOS COLCHON, S.L.","C/ ALAMEDA SOLANO, S/N","40 a 44 años",0.10641828192171356,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_1_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"CHICLANA DE LA FRONTERA","CADIZ",0.027963375402128204,0.11320754716981131,0.42550294597135896,3,"AUTOS COLCHON, S.L.","C/ ALAMEDA SOLANO, S/N","45 a 49 años",0.10003268220328332,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_5_Antiguedad","cluster_3_Edad"
"1  ",60.0,"B00","D","UTILITARIO",0.0,"CHICLANA DE LA FRONTERA","CADIZ",0.027963375402128204,0.11320754716981131,0.42550294597135896,3,"AUTOS COLCHON, S.L.","C/ ALAMEDA SOLANO, S/N","50 a 54 años",0.08376700103074643,"0",0.0,0.0,"cluster_1_GamaPotencia","cluster_5_Antiguedad","cluster_3_Edad"
